owner	status	method_count	first_line	last_line
(free function)	todo	4069	100401	2989061
std::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> >::_Rep	todo	1	103700	103700
Supplier<OT::IntType<unsigned short, 2u> >	todo	1	109688	109688
ExceptionSwallower<aiReturn>	todo	1	111476	111476
THObject	todo	7	113495	114721
TGPlaceHolder	todo	3	114826	114867
TManagedObject	todo	50	114890	194554
THButton	todo	7	114929	116008
TMObject	todo	7	116072	116424
TCPDebuggerServer	todo	9	120400	123408
TCPDebuggerClient	todo	14	120478	499237
HashMap<int, std::vector<int, std::allocator<int> >, IntegerHash<int> >	todo	3	127253	134692
HashMap<int, int, IntegerHash<int> >	todo	4	134244	1621839
ProfileArea	todo	2	134513	134570
ProfileResult	todo	1	134537	134537
Expander<char const*>	todo	1	134622	134622
Expander<std::basic_string<char, std::char_traits<char>, std::allocator<char> > >	todo	1	134897	134897
HashMap<std::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, StringHash<char const*> >	todo	4	135459	1621690
StringHashMap<std::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, char const*, StringHash<char const*> >	todo	5	135653	1622051
hmap_iterator<int, int, IntegerHash<int> >	todo	1	135669	135669
HashNode<std::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, StringHash<char const*> >	todo	1	135743	135743
HashNode<int, std::vector<int, std::allocator<int> >, IntegerHash<int> >	todo	1	136783	136783
TMCharacter	todo	10	137965	138489
TGInterface	todo	25	138536	143021
TPaintControl	todo	27	143284	749311
HashMap<TId, int, TIdHash>	todo	1	143397	143397
THText	todo	6	144162	144330
TDiagnostic	todo	11	144499	148293
Geni::mslocale_t	todo	2	148405	479251
TGAnimation	todo	51	148778	158721
TCAnimation	todo	40	158833	1384914
TMSavegameArea	todo	6	159199	159295
TMSavegame	todo	22	159356	164367
HashMap<wxString, wxString, StringHash<wchar_t const*> >	todo	1	164898	164898
TMButton	todo	9	165577	166172
TGScene	todo	39	166435	172880
HashMap<int, std::list<TSceneActionArea*, std::allocator<TSceneActionArea*> >*, IntegerHash<int> >	todo	1	173228	173228
TGCharacter	todo	76	175318	185835
THAction	todo	5	187010	187127
TGObjectManager	todo	25	187194	189565
TTObject	todo	9	190187	1468584
TTButton	todo	12	190202	1526063
TGEventInfo	todo	1	190217	190217
no_check_checker_t	todo	4	191182	1570709
t_SkipCutsceneInfo	todo	1	194735	194735
TGAction	todo	33	194786	211541
TVisObjTween	todo	4	212286	481002
TGText	todo	31	212567	215356
TSText	todo	15	216919	1460684
THCharacter	todo	5	217481	218783
THItem	todo	5	218884	219148
THScene	todo	7	219228	219814
TGScrollButton	todo	5	219879	220036
TGDialog	todo	14	220105	479462
TConsole	todo	61	223417	242869
