line	raw_symbol	status	owner	member	demangled
100401	_init_proc	todo	(free function)	_init_proc	_init_proc
100434	sub_521718	todo	(free function)	sub_521718	sub_521718
103700	_ZNSbIwSt11char_traitsIwESaIwEE4_Rep26_M_set_length_and_sharableEm_part_6	todo	std::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> >::_Rep	_M_set_length_and_sharable	std::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> >::_Rep::_M_set_length_and_sharable(unsigned long)
104791	get_ucp	todo	(free function)	get_ucp	get_ucp
104919	add_not_list_to_class	todo	(free function)	add_not_list_to_class	add_not_list_to_class
104995	emit_restore_flags	todo	(free function)	emit_restore_flags	emit_restore_flags
105036	emit_save_flags	todo	(free function)	emit_save_flags	emit_save_flags
106297	New_Profile	todo	(free function)	New_Profile	New_Profile
106382	End_Profile	todo	(free function)	End_Profile	End_Profile
106444	Insert_Y_Turn	todo	(free function)	Insert_Y_Turn	Insert_Y_Turn
106530	Bezier_Up	todo	(free function)	Bezier_Up	Bezier_Up
106702	Bezier_Down	todo	(free function)	Bezier_Down	Bezier_Down
106747	Conic_To	todo	(free function)	Conic_To	Conic_To
106916	Cubic_To	todo	(free function)	Cubic_To	Cubic_To
107102	Sort	todo	(free function)	Sort	Sort
107169	Line_Up	todo	(free function)	Line_Up	Line_Up
107366	Line_To	todo	(free function)	Line_To	Line_To
107568	Render_Single_Pass	todo	(free function)	Render_Single_Pass	Render_Single_Pass
108621	gray_hline	todo	(free function)	gray_hline	gray_hline
108745	gray_convert_glyph_inner	todo	(free function)	gray_convert_glyph_inner	gray_convert_glyph_inner
108837	gray_convert_glyph	todo	(free function)	gray_convert_glyph	gray_convert_glyph
109636	t42_is_space	todo	(free function)	t42_is_space	t42_is_space
109668	_Z4CrapIN8hb_set_t6page_tEERT_v	todo	(free function)	Crap<hb_set_t::page_t>	hb_set_t::page_t& Crap<hb_set_t::page_t>()
109688	_ZNK8SupplierIN2OT7IntTypeItLj2EEEEixEj_part_27	todo	Supplier<OT::IntType<unsigned short, 2u> >	operator[]	Supplier<OT::IntType<unsigned short, 2u> >::operator[](unsigned int) const
109702	_ZL40arabic_fallback_synthesize_lookup_singlePK18hb_ot_shape_plan_tP9hb_font_tj_isra_51	todo	(free function)	arabic_fallback_synthesize_lookup_single	arabic_fallback_synthesize_lookup_single(hb_ot_shape_plan_t const*, hb_font_t*, unsigned int)
