assert_line	original_file	original_source_line	expression	enclosing_function
116163	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/objectManaged.cpp	71	m_pAnimationLink == NULL	TMObject::SetActive(bool)
138037	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/characterManaged.cpp	50	m_pAnimationLink == NULL	TMCharacter::SetAnimation(TGAnimation*)
138872	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/interfaceGame.cpp	624	false	TGInterface::Draw()
149704	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/animationGame.cpp	114	false	TGAnimation::DetachOwner(TAnimationOwner*)
191507	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/managedObject.cpp	369	text != NULL	TManagedObject::SetText(TGText*)
195100	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/actionGame.cpp	76	false	TGAction::operator=(TVisObjRef&)
196136	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/actionGame.cpp	2400	RunningActions.size() == ActionIdToRunningAction.size()	TGAction::DeleteFinishedActions()
196303	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/actionGame.cpp	2422	RunningActions.size() == ActionIdToRunningAction.size()	TGAction::DeleteFinishedActions()
200159	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/actionGame.cpp	608	false	TGAction::Execute(bool, t_SkipCutsceneInfo*)
203333	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/actionGame.cpp	508	false	TGAction::Execute(bool, t_SkipCutsceneInfo*)
205534	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/actionGame.cpp	773	false	TGAction::Execute(bool, t_SkipCutsceneInfo*)
207611	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/actionGame.cpp	1092	false	TGAction::Execute(bool, t_SkipCutsceneInfo*)
212673	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/textGame.cpp	118	false	TGText::DetachOwner(TTextOwner*)
224094	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/console.cpp	1360	index >= 0 && index < 3	TConsole::ParseObjectName(int)
432832	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/scripting/scriptingutils.cpp	179	stackSizeBefore == stackSizeAfter	SaveGlobalScriptVariables(TVisionaireGame&)
433245	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/scripting/scriptingutils.cpp	250	false	TraverseList(TVList const&, int, TVisionaireGame&)
433835	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/scripting/scriptingutils.cpp	250	false	LoadGlobalScriptVariables(TVisionaireGame&)
433852	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/scripting/scriptingutils.cpp	285	stackSizeBefore == stackSizeAfter	LoadGlobalScriptVariables(TVisionaireGame&)
450803	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/control/gameController.cpp	198	gamecontroller_it != m_gamecontrollers.end()	TGameController::RemoveGameController(int)
462644	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/control/gameControl.cpp	3149	false	TGameControl::SavegameExists(int)
472834	/home/simon/Documents/jenkins/branchPillars/src/vsplayer/control/gameControl.cpp	530	false	TGameControl::HandleMouseUp(wxPoint const&, TMouseMessageEnum)
