original_file	assert_count	distinct_functions	sample_functions
/home/simon/Documents/jenkins/branchPillars/src/baselib/composedfile.cpp	1	1	TComposedFile::GetComposedFileExtension() const
/home/simon/Documents/jenkins/branchPillars/src/baselib/file.cpp	2	2	TFile::PasteFile(wxFileName const&, wxString const&, long, unsigned long&) | TFile::ReadToBuf(TMemoryBuffer&, unsigned long)
/home/simon/Documents/jenkins/branchPillars/src/baselib/md5.cpp	6	5	ManipulateForMD5(char*) | md5::Decode(unsigned int*, unsigned char*, unsigned int) | md5::Encode(unsigned char*, unsigned int*, unsigned int) | md5::Finalize() | md5::Transform(unsigned char*)
/home/simon/Documents/jenkins/branchPillars/src/baselib/memfile.cpp	1	1	TMemoryFile::GetBuffer()
/home/simon/Documents/jenkins/branchPillars/src/baselib/sort.cpp	4	4	RadixSort::Grow(unsigned int, unsigned int, unsigned int) | RadixSort::ResetIndices(unsigned int) | RadixSort::Resize(unsigned int, unsigned int, unsigned int) | RadixSort::Sort(float const*, unsigned int)
/home/simon/Documents/jenkins/branchPillars/src/baselib/xmlCommon.cpp	1	1	ConvertToBool(char const*, char const*)
/home/simon/Documents/jenkins/branchPillars/src/baselib/xmlWriter.cpp	4	4	TXMLWriter::AddContent(wxString const&) | TXMLWriter::FinishTag(int) | TXMLWriter::FinishTagS(char const*) | TXMLWriter::StartTagS(char const*)
/home/simon/Documents/jenkins/branchPillars/src/datastruct/binaryProjectReader.cpp	10	4	TVisionaire::BinaryLoad(TVedFile&, TLoadingTypeEnum, TSignalSlot*, int*, EventHandler*) | TVisionaire::BinarySave(wxFileName const&, EventHandler*, bool, TProjectFileWriter*) | _Z10saveObjectP8_IO_FILEPvi_constprop_175 | saveObject(_IO_FILE*, void*, int)
/home/simon/Documents/jenkins/branchPillars/src/datastruct/data.cpp	89	30	GetRefBool(void const*) | GetRefFloat(void const*) | GetRefInt(void const*) | GetRefLink(void const*) | GetRefLinks(void const*)
/home/simon/Documents/jenkins/branchPillars/src/datastruct/datagrp.cpp	10	8	TDataGroup::CreateTempData() | TDataGroup::ForEachCall(eActivity, void*, void*) | TDataGroup::GetValue(int, eTypeData) const | TDataGroup::SetLink(int, TId const&, bool, bool) | TDataGroup::SetValue(int, void const*, eTypeData, TSendEventEnum)
/home/simon/Documents/jenkins/branchPillars/src/datastruct/table.cpp	29	15	TTable::CreateActiveObject(TId const&) | TTable::CreateObject(TVisionaireObject*, int, bool) | TTable::CreateObjectWithId(TId const&, int) | TTable::EndPaste() | TTable::FixOrderOfImportedObject(TVisionaireObject*)
/home/simon/Documents/jenkins/branchPillars/src/datastruct/typegrp.cpp	7	5	TTypeGroup::AddType(TTypeData const&) | TTypeGroup::GetType(int, bool) const | TTypeGroup::GetTypeData(int) const | TTypeGroup::TTypeGroup(TTypeGroup const&) | TTypeGroup::operator=(TTypeGroup const&)
/home/simon/Documents/jenkins/branchPillars/src/datastruct/visionaire.cpp	40	25	ScrambledSorting(TTable*, TTable*) | TVisionaire::AddLink(TId const&, TId const&, int, bool) | TVisionaire::AddTable(int, int, wxString const&, wxString const&, wxString const&, TTypeGroup const&, int, bool) | TVisionaire::ChangeOrder(TVisObjRef const&, TMoveOrderEnum) | TVisionaire::Clear()
