line	raw_symbol	demangled
100401	_init_proc	_init_proc
100434	sub_521718	sub_521718
104791	get_ucp	get_ucp
104919	add_not_list_to_class	add_not_list_to_class
104995	emit_restore_flags	emit_restore_flags
105036	emit_save_flags	emit_save_flags
106297	New_Profile	New_Profile
106382	End_Profile	End_Profile
106444	Insert_Y_Turn	Insert_Y_Turn
106530	Bezier_Up	Bezier_Up
106702	Bezier_Down	Bezier_Down
106747	Conic_To	Conic_To
106916	Cubic_To	Cubic_To
107102	Sort	Sort
107169	Line_Up	Line_Up
107366	Line_To	Line_To
107568	Render_Single_Pass	Render_Single_Pass
108621	gray_hline	gray_hline
108745	gray_convert_glyph_inner	gray_convert_glyph_inner
108837	gray_convert_glyph	gray_convert_glyph
109636	t42_is_space	t42_is_space
109668	_Z4CrapIN8hb_set_t6page_tEERT_v	hb_set_t::page_t& Crap<hb_set_t::page_t>()
109702	_ZL40arabic_fallback_synthesize_lookup_singlePK18hb_ot_shape_plan_tP9hb_font_tj_isra_51	arabic_fallback_synthesize_lookup_single(hb_ot_shape_plan_t const*, hb_font_t*, unsigned int)
110772	_ZL42arabic_fallback_synthesize_lookup_ligaturePK18hb_ot_shape_plan_tP9hb_font_t_isra_47	arabic_fallback_synthesize_lookup_ligature(hb_ot_shape_plan_t const*, hb_font_t*)
111203	_Z4CrapIN8hb_set_t6page_tEERT_v_0	hb_set_t::page_t& Crap<hb_set_t::page_t>()
111221	_Z4CrapIN8hb_set_t6page_tEERT_v_1	hb_set_t::page_t& Crap<hb_set_t::page_t>()
111290	_ZL14apply_backwardPN2OT21hb_ot_apply_context_tERK33hb_ot_layout_lookup_accelerator_tRK9hb_auto_tI11hb_vector_tIN26hb_get_subtables_context_t15hb_applicable_tELj8EEE	apply_backward(OT::hb_ot_apply_context_t*, hb_ot_layout_lookup_accelerator_t const&, hb_auto_t<hb_vector_t<hb_get_subtables_context_t::hb_applicable_t, 8u> > const&)
112304	err_syntax	err_syntax
112320	err_limit_isra_26	err_limit_isra_26
112348	strscan_double	strscan_double
112404	strscan_dec	strscan_dec
