library	function_count	first_line	last_line	sample_names
SDL2	2417	504974	2729241	SDL_ScanLong(wchar_t const*, int, long*) | SDL_strlwr(wchar_t*) | SDL_strlen(wchar_t const*) | SDL_strlcpy(wchar_t*, wchar_t const*, unsigned long) | SDL_strrev(wchar_t*)
libstdc++/STL	1606	102900	2988904	__gnu_cxx::__exchange_and_add_dispatch(int*, int) | __gnu_cxx::__exchange_and_add_dispatch(int*, int) | __gnu_cxx::__exchange_and_add_dispatch(int*, int) | __gnu_cxx::__exchange_and_add_dispatch(int*, int) | __gnu_cxx::__exchange_and_add_dispatch(int*, int)
tolua++ bindings	1391	289200	2026370	tolua_collect_b2RayCastCallback(lua_State*) | tolua_collect_b2QueryCallback(lua_State*) | tolua_collect_b2DestructionListener(lua_State*) | tolua_collect_b2WheelJointDef(lua_State*) | tolua_collect_b2WeldJointDef(lua_State*)
Assimp	1035	2030300	2415396	Assimp::LogStream::~LogStream() | Assimp::Logger::~Logger() | Assimp::IOStream::~IOStream() | Assimp::IOSystem::~IOSystem() | Assimp::CIOStreamWrapper::Read(void*, unsigned long, unsigned long)
HarfBuzz	973	111241	1968208	hb_vector_t<hb_get_subtables_context_t::hb_applicable_t, 8u>::push() | OT::hb_ot_apply_context_t::match_properties_mark(unsigned int, unsigned int, unsigned int) const | hb_vector_t<hb_ot_map_builder_t::feature_info_t, 32u>::operator[](unsigned int) | hb_vector_t<hb_ot_map_t::feature_map_t, 8u>::operator[](unsigned int) | hb_segment_properties_equal
LuaJIT core	757	113023	2862666	lj_ir_growbot | lj_err_throw | lj_err_str | lj_err_unwind_dwarf | lj_err_mem
FreeType (internal: autofit/cff/truetype/etc)	484	106119	1830308	cf2_stack_roll | cff_charset_compute_cids | tt_sbit_decoder_load_metrics_isra_6 | ft_var_readpackedpoints | ft_var_readpackeddeltas
Box2D	479	366155	2020076	b2Body::SetAwake(bool) | b2Shape::~b2Shape() | b2Shape::~b2Shape() | b2Draw::~b2Draw() | b2DrawVis::~b2DrawVis()
libpng	421	753398	927484	png_flush(png_struct_def*) | png_write(png_struct_def*, unsigned char*, unsigned long) | png_image_set_PLTE_isra_2 | png_image_write_init | png_write_info_before_PLTE
libwebp	321	759376	1050385	WebPWriter(unsigned char const*, unsigned long, WebPPicture const*) | WebPParseHeaders | WebPResetDecParams | WebPDecodeRGBInto | WebPDecodeRGBAInto
wxWidgets	261	134419	1622211	wxString::wxString(char const*) | wxCharBuffer::~wxCharBuffer() | wxString::operator std::basic_string<char, std::char_traits<char>, std::allocator<char> >() const | void wxLog::log<char const*>(wxString const&, char const*) | void wxLog::log<char const*, char const*, int, char const*>(wxString const&, char const*, char const*, int, char const*)
Spine runtime	227	680199	1148098	_spVAttachmentLoader_configureAttachment(spAttachmentLoader*, spAttachment*) | _spVAttachmentLoader_disposeAttachment(spAttachmentLoader*, spAttachment*) | _spVAttachmentLoader_newAttachment(spAttachmentLoader*, spSkin*, spAttachmentType, char const*, char const*) | _spUtil_readFile | _spAtlasPage_createTexture
FreeType (public API)	203	1668968	1829311	FT_Stream_New_part_17 | FT_Stream_Skip_part_10 | FT_RoundFix | FT_CeilFix | FT_FloorFix
Lua/LuaJIT public API	196	121310	2768694	lua_debughook(lua_State*) | lua_debughookpr(lua_State*, lua_Debug*) | lua_debugerror(lua_State*) | lua_debughookf(lua_State*, lua_Debug*) | lua_open_system(lua_State*)
libvorbis/ogg	183	104763	1197926	op_granpos_diff_part_2 | op_granpos_add | op_stereo_filter | op_get_next_page | op_fetch_headers_impl
SDL2 (X11 backend)	99	2523218	2728779	X11_ShowMessageBoxImpl | X11_ShowMessageBox | X11_CreateDevice | X11_DeleteDevice | X11_Available
jpgd (public-domain JPEG codec)	88	720940	739795	jpgd::jpeg_decoder_mem_stream::read(unsigned char*, int, bool*) | jpgd::jpeg_decoder_file_stream::read(unsigned char*, int, bool*) | jpgd::jpeg_decoder_wxfile_stream::read(unsigned char*, int, bool*) | jpgd::jpeg_decoder_file_stream::~jpeg_decoder_file_stream() | jpgd::jpeg_decoder_file_stream::~jpeg_decoder_file_stream()
rapidjson	66	1089690	1098683	rapidjson::GenericValue<rapidjson::UTF8<char>, rapidjson::MemoryPoolAllocator<rapidjson::CrtAllocator> >::~GenericValue() | rapidjson::internal::DiyFp::NormalizedBoundaries(rapidjson::internal::DiyFp*, rapidjson::internal::DiyFp*) const | rapidjson::internal::StrtodNormalPrecision(double, int) | rapidjson::internal::u32toa(unsigned int, char*) | rapidjson::internal::u64toa(unsigned long, char*)
