# apple_word	name	decl	(dos_word = +289 for word>=74)
3	PARTYCNT	INTEGER;
4	CACHEBL	INTEGER;
5	SCNTOCBL	INTEGER;
6	LLBASE04	INTEGER;  (* REALLY BASE.06 IN WIZ1, BUT IS BASE04 IN LOL *)
7	TIMEDLAY	INTEGER;
8	CACHEWRI	BOOLEAN;
9	INCHAR	CHAR;
10	XGOTO	TXGOTO;
11	XGOTO2	TXGOTO;
12	ATTK012	INTEGER;
13	FIZZLES	INTEGER;
14	CHSTALRM	INTEGER;
15	LIGHT	INTEGER;
16	ACMOD2	INTEGER;
17	ENSTRENG	INTEGER;
18	BASE12	RECORD CASE INTEGER OF      (* BASE291 IN LOL *)
19	ENEMYINX	INTEGER;
20	SAVELEV	INTEGER;
21	SAVEY	INTEGER;
22	SAVEX	INTEGER;
23	DIRECTIO	INTEGER;
24	MAZELEV	INTEGER;
25	MAZEY	INTEGER;
26	MAZEX	INTEGER;
27	ENCB4RUN	BOOLEAN;
28	FIGHTMAP	PACKED ARRAY[ 0..19, 0..19] OF BOOLEAN;
68	CHARDISK	ARRAY[ 0..5] OF INTEGER;
74	CHARACTR	ARRAY[ 0..5] OF TCHAR;
698	SCNTOC	TSCNTOC;
950	IOCACHE	PACKED ARRAY[ 0..1023] OF CHAR;
1462	CHARSET	PACKED ARRAY[ 0..63] OF TCHRIMAG;
1718	BASE06B6	INTEGER; (* UNUSED *)
1719	MEMPTR	RECORD CASE INTEGER OF
