# Hand-verified DOS proc -> Apple name seeds (conf = manual).
# Merged into docs/procmap.tsv by tools/procmatch.py; never overwritten.
# dos_seg	dos_proc	apple_name	conf	evidence
WIZARDRY	1	WIZARDRY	manual	segment main; CXPs to CASTLE/CAMP/COMBAT/GAMEUTIL
WIZARDRY	2	PRINTBEL	manual	calls WRITECH(58); Apple proc 2
WIZARDRY	3	GETREC	manual	block-cache addr arithmetic; = Apple GETREC exactly
WIZARDRY	4	GETRECW	manual	calls GETREC then CACHEWRI:=TRUE
WIZARDRY	5	ADDLONGS	manual	Apple proc 5; shares carry helper 69 with SUBLONGS
WIZARDRY	6	SUBLONGS	manual	Apple proc 6; shares carry helper 69 with ADDLONGS
WIZARDRY	7	BCD2LONG	manual	Apple proc 7; shares BCD helpers 70/73 with LONG2BCD
WIZARDRY	8	LONG2BCD	manual	Apple proc 8
WIZARDRY	9	MULTLONG	manual	Apple proc 9
WIZARDRY	38	GETSTR	manual	binary search over strTree; literal "**ERR**"
WIZARDRY	82	GETSTR_LOAD	manual	inner: ASCII.KRN block fetch + decipher
WIZARDRY	64	CHECKCACHE	manual	d/s node cache lookup (518/86-byte nodes)
WIZARDRY	65	UNITREAD_RETRY	manual	UNITREAD until IORESULT=0 (called by GETREC)
WIZARDRY	66	UNITWRITE_RETRY	manual	UNITWRITE until IORESULT=0 (called by GETREC)
WIZARDRY	59	FINDFILE	manual	open file on unit, return first block; data=2090
COMBAT	1	COMBAT	manual	segment main
CASTASPE	1	CASTASPE	manual	segment main
SWINGASW	1	SWINGASW	manual	segment main
CINIT	1	CINIT	manual	segment main
CUTIL	1	CUTIL	manual	segment main
KANJIREA	1	KANJIREA	manual	segment main
KANJIREA	6	ALLOCCACHES	manual	builds d/s cache free lists
KANJIREA	7	ADDCACHE	manual	AddCache(prev,size)
KANJIREA	8	LOADSTRTREE	manual	opens ASCII.KRN, loads strOffsets/strTree, sets SoffSet
KANJIREA	9	LOADRAM	manual	Allocate + UNITREAD(startBlk,byteLen)
KANJIREA	10	STRINIT	manual	picks 200/400 prefix; LoadStrTree('ASCII.KRN')
UTILITIE	1	UTILITIE	manual	segment main
SHOPS	1	SHOPS	manual	segment main
SPECIALS	1	SPECIALS	manual	segment main
CASTLE	1	CASTLE	manual	segment main
ROLLER	1	ROLLER	manual	segment main
CAMP	1	CAMP	manual	segment main
REWARDS	1	REWARDS	manual	segment main
RUNNER	1	RUNNER	manual	segment main
GAMEUTIL	1	GAMEUTIL	manual	segment main
